City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,78.3,overcast clouds,-23.1203,-134.9692,People ThankYou
1,Bengkulu,ID,75.11,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
2,Hilo,US,78.12,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
9,Mar Del Plata,AR,78.01,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
10,Vaini,TO,78.96,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
11,Broken Hill,AU,83.91,clear sky,-31.95,141.4333,Royal Exchange Hotel
14,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
15,Port Macquarie,AU,79.9,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
20,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
26,Atuona,PF,78.89,few clouds,-9.8,-139.0333,Villa Enata
31,Bambous Virieux,MU,77.22,light rain,-20.3428,57.7575,Casa Tia Villa
38,San Patricio,US,75.07,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
39,Inhambane,MZ,75.04,broken clouds,-23.865,35.3833,Oceano
40,Monrovia,LR,78.57,scattered clouds,6.3005,-10.7969,Sunset Inn
43,Nicoya,CR,87.35,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
47,Banjarmasin,ID,75.34,light rain,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
48,Mumford,GH,81.0,scattered clouds,5.2618,-0.759,Spanish Villa
65,Ilorin,NG,82.24,scattered clouds,8.5,4.55,Ayala Suite Annex
68,Sinnamary,GF,76.12,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
70,Bairiki,KI,84.2,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
74,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
77,Buin,CL,81.05,overcast clouds,-33.7333,-70.75,Paihuen
78,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
80,Katobu,ID,77.47,overcast clouds,-4.9408,122.5276,La Ode Husein
82,Mitsamiouli,KM,82.29,overcast clouds,-11.3847,43.2844,Foyer ADM
85,Souillac,MU,76.35,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
92,Uaua,BR,81.55,heavy intensity rain,-9.8414,-39.4817,Hotel Uauá
95,The Valley,AI,78.66,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
