City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,78.3,79,100,18.97,overcast clouds
1,Bengkulu,ID,-3.8004,102.2655,75.11,91,92,4.03,light rain
2,Hilo,US,19.7297,-155.09,78.12,78,2,5.99,clear sky
3,Cape Town,ZA,-33.9258,18.4232,71.1,76,0,1.01,clear sky
4,Chicama,PE,-7.8447,-79.1469,70.34,67,46,7.27,scattered clouds
5,Ketchikan,US,55.3422,-131.6461,41.97,95,100,23.17,moderate rain
6,Nanortalik,GL,60.1432,-45.2371,19.17,78,100,34.85,overcast clouds
7,Sankt Georgen,HU,47.1425,16.5815,34.7,67,100,1.9,overcast clouds
8,Nampula,MZ,-15.1165,39.2666,71.55,94,75,10.36,light rain
9,Mar Del Plata,AR,-38.0023,-57.5575,78.01,36,0,5.99,clear sky
10,Vaini,TO,-21.2,-175.2,78.96,89,100,8.05,light intensity shower rain
11,Broken Hill,AU,-31.95,141.4333,83.91,30,0,9.22,clear sky
12,Ushuaia,AR,-54.8,-68.3,46.06,61,100,10.36,overcast clouds
13,Olafsvik,IS,64.8945,-23.7142,39.13,93,100,31.21,moderate rain
14,Bathsheba,BB,13.2167,-59.5167,77.61,69,75,19.57,broken clouds
15,Port Macquarie,AU,-31.4333,152.9167,79.9,70,37,9.17,scattered clouds
16,Kropotkin,RU,45.4375,40.5756,37.04,82,95,9.84,overcast clouds
17,Coquimbo,CL,-29.9533,-71.3436,67.73,63,0,13.8,clear sky
18,Punta Arenas,CL,-53.15,-70.9167,50.11,66,75,17.27,light rain
19,Starodub,RU,52.5844,32.7633,26.38,98,100,5.01,snow
20,Cabedelo,BR,-6.9811,-34.8339,81.27,73,31,11.72,scattered clouds
21,Thompson,CA,55.7435,-97.8558,-20.04,69,0,18.41,clear sky
22,Svetlyy,RU,54.675,20.1347,24.96,82,45,7.56,scattered clouds
23,Great Yarmouth,GB,52.6083,1.7305,39.94,87,100,7.02,overcast clouds
24,Barrow,US,71.2906,-156.7887,-18.38,76,20,4.61,haze
25,Shahrud,IR,36.4182,54.9763,33.51,55,0,2.19,clear sky
26,Atuona,PF,-9.8,-139.0333,78.89,72,14,17.52,few clouds
27,Saint Cloud,US,45.5608,-94.1625,1.98,61,72,7.0,broken clouds
28,Monte Alegre,BR,-2.0078,-54.0692,74.34,87,100,3.15,overcast clouds
29,Tasiilaq,GL,65.6145,-37.6368,32.22,73,100,49.86,overcast clouds
30,Fortuna,US,40.5982,-124.1573,65.93,55,0,1.01,clear sky
31,Bambous Virieux,MU,-20.3428,57.7575,77.22,100,40,4.61,light rain
32,Carnarvon,AU,-24.8667,113.6333,68.07,83,0,9.22,clear sky
33,Mataura,NZ,-46.1927,168.8643,65.48,57,68,1.41,broken clouds
34,Pevek,RU,69.7008,170.3133,-15.81,100,87,3.44,overcast clouds
35,Matay,EG,28.419,30.7792,50.92,46,5,7.58,clear sky
36,Severo-Kurilsk,RU,50.6789,156.125,29.79,85,84,10.78,broken clouds
37,Goderich,CA,43.7501,-81.7165,25.92,58,100,24.16,overcast clouds
38,San Patricio,US,28.017,-97.5169,75.07,51,94,16.82,overcast clouds
39,Inhambane,MZ,-23.865,35.3833,75.04,87,72,7.07,broken clouds
40,Monrovia,LR,6.3005,-10.7969,78.57,83,35,7.2,scattered clouds
41,Hermanus,ZA,-34.4187,19.2345,67.89,86,100,11.27,overcast clouds
42,Upernavik,GL,72.7868,-56.1549,0.36,98,100,11.56,overcast clouds
43,Nicoya,CR,10.1483,-85.452,87.35,51,14,9.71,few clouds
44,Maksi,IN,23.2667,76.15,51.57,80,0,6.98,clear sky
45,Qaqortoq,GL,60.7167,-46.0333,19.9,81,100,4.12,overcast clouds
46,Busselton,AU,-33.65,115.3333,61.05,69,78,11.3,broken clouds
47,Banjarmasin,ID,-3.3244,114.591,75.34,91,97,2.19,light rain
48,Mumford,GH,5.2618,-0.759,81.0,84,29,6.98,scattered clouds
49,Kruisfontein,ZA,-34.0033,24.7314,64.89,82,93,20.49,overcast clouds
50,Shaoguan,CN,24.8,113.5833,50.81,76,93,0.4,light rain
51,Ayan,RU,56.45,138.1667,-7.73,72,100,15.03,overcast clouds
52,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.02,99,100,1.95,moderate rain
53,Arraial Do Cabo,BR,-22.9661,-42.0278,70.59,90,100,11.59,overcast clouds
54,Cullera,ES,39.1667,-0.25,64.4,60,66,13.0,broken clouds
55,Port Alfred,ZA,-33.5906,26.891,72.64,92,51,14.72,broken clouds
56,Yulara,AU,-25.2406,130.9889,91.47,14,15,13.31,few clouds
57,Saldanha,ZA,-33.0117,17.9442,65.23,91,68,5.03,broken clouds
58,Laguna,US,38.421,-121.4238,64.22,64,0,1.99,clear sky
59,Namibe,AO,-15.1961,12.1522,65.79,80,15,6.22,few clouds
60,Jalu,LY,29.0331,21.5482,51.53,52,0,12.66,clear sky
61,Palmer,US,42.1584,-72.3287,38.71,79,100,5.99,light rain
62,Jamestown,US,42.097,-79.2353,35.1,61,100,13.0,overcast clouds
63,Moshupa,BW,-24.7782,25.4155,72.46,47,96,7.34,overcast clouds
64,Norman Wells,CA,65.282,-126.8329,-33.84,99,81,3.31,broken clouds
65,Ilorin,NG,8.5,4.55,82.24,22,38,5.14,scattered clouds
66,Castro,BR,-24.7911,-50.0119,60.22,84,100,5.44,overcast clouds
67,Kisangani,CD,0.5167,25.2,73.74,88,100,2.17,overcast clouds
68,Sinnamary,GF,5.3833,-52.95,76.12,82,98,7.36,overcast clouds
69,Terney,RU,45.0503,136.6092,5.05,71,0,9.78,clear sky
70,Bairiki,KI,1.3292,172.9752,84.2,79,75,10.36,broken clouds
71,Gravdal,NO,68.1214,13.5031,27.55,77,25,6.89,scattered clouds
72,Albany,US,42.6001,-73.9662,38.8,91,100,1.01,overcast clouds
73,Methoni,GR,36.8197,21.7049,52.21,63,89,15.52,overcast clouds
74,Avarua,CK,-21.2078,-159.775,82.45,78,100,12.66,overcast clouds
75,Dikson,RU,73.5069,80.5464,-11.72,100,99,8.05,overcast clouds
76,Airai,TL,-8.9266,125.4092,65.19,82,51,0.43,broken clouds
77,Buin,CL,-33.7333,-70.75,81.05,42,94,8.28,overcast clouds
78,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,73,8.19,broken clouds
79,Hasaki,JP,35.7333,140.8333,43.2,70,100,22.17,overcast clouds
80,Katobu,ID,-4.9408,122.5276,77.47,89,98,1.36,overcast clouds
81,Ambatofinandrahana,MG,-20.55,46.8,61.36,91,100,3.89,overcast clouds
82,Mitsamiouli,KM,-11.3847,43.2844,82.29,76,89,9.95,overcast clouds
83,Luderitz,NA,-26.6481,15.1594,62.73,95,4,4.9,clear sky
84,Rio Grande,BR,-32.035,-52.0986,72.95,75,0,17.94,clear sky
85,Souillac,MU,-20.5167,57.5167,76.35,86,99,7.31,light rain
86,Fort Nelson,CA,58.8053,-122.7002,-20.61,76,100,0.0,heavy snow
87,Kaitangata,NZ,-46.2817,169.8464,64.36,72,86,4.79,overcast clouds
88,Cherskiy,RU,68.75,161.3,-16.19,98,100,0.83,overcast clouds
89,Portland,US,45.5234,-122.6762,54.54,60,0,10.0,clear sky
90,Bluff,NZ,-46.6,168.3333,66.79,83,91,4.52,overcast clouds
91,Ahipara,NZ,-35.1667,173.1667,74.3,61,100,4.72,overcast clouds
92,Uaua,BR,-9.8414,-39.4817,81.55,48,100,7.31,heavy intensity rain
93,Taseyevo,RU,57.2169,94.8978,24.84,88,100,12.33,overcast clouds
94,Provideniya,RU,64.3833,-173.3,8.71,66,0,15.66,clear sky
95,The Valley,AI,18.217,-63.0578,78.66,78,40,12.66,scattered clouds
96,Husavik,IS,66.0449,-17.3389,38.95,85,100,28.86,overcast clouds
97,Chuy,UY,-33.6971,-53.4616,70.84,75,0,14.88,clear sky
98,Almeirim,BR,-1.5233,-52.5817,73.83,97,98,2.13,overcast clouds
99,Torbay,CA,47.6666,-52.7314,28.76,80,25,1.99,scattered clouds
100,Hobart,AU,-42.8794,147.3294,63.01,85,75,1.01,light intensity drizzle
101,Edinburg,GB,55.9521,-3.1965,41.38,95,100,1.14,overcast clouds
102,Korla,CN,41.7597,86.1469,23.63,65,100,4.63,overcast clouds
103,Khatanga,RU,71.9667,102.5,-12.03,98,49,4.85,scattered clouds
104,Kapaa,US,22.0752,-159.319,80.47,62,0,1.99,clear sky
105,Bredasdorp,ZA,-34.5322,20.0403,71.28,72,100,8.7,overcast clouds
106,Nikolskoye,RU,59.7035,30.7861,24.69,99,94,1.81,snow
107,Haines Junction,CA,60.7522,-137.5108,-12.6,95,100,3.42,light snow
108,Burnie,AU,-41.0667,145.9167,64.31,88,91,4.94,overcast clouds
109,Half Moon Bay,US,37.4636,-122.4286,66.47,64,0,1.01,clear sky
110,Port Lavaca,US,28.615,-96.6261,69.98,72,80,16.33,broken clouds
111,Rock Hill,US,34.9249,-81.0251,64.04,79,100,8.05,overcast clouds
112,Cockburn Town,TC,21.4612,-71.1419,78.03,75,9,22.95,clear sky
113,Port Lincoln,AU,-34.7333,135.8667,79.99,48,65,10.71,broken clouds
114,Onda,ES,39.9667,-0.25,62.04,66,77,7.47,broken clouds
